Num,ADJUSTED NUMBER,Observer,Date,Cloud,Wind,Time,Species,Lat,Lon,Age,Sex,Bird Height,Foraging Location,Foraging Behavior,Flock?,# individuals,Con/hetero,# species,Which species,Substrate type,Canopy height,Canopy level,PLAYBACK?,Locality,NOTE,,,Distance from Trunk,DBH,(habitat),(tree height),,,
14,14,E + M,1/11,30,2,1634,AMRE,18.5204994,-68.3841942,U,F,4,OF,G,N,,,,,,,,Y,Behind Sewage Ponds,,,,0.8,1.5,Sparse ES,4.5,,BWVI,48
15,15,E + M,1/11,30,2,1638,AMRE,18.5204994,-68.3841942,U,F,0.7,,F,Y,2,H,2,OVEN,,,,Y,Behind Sewage Ponds,,,,,,Sparse ES,,,NOWA,4
19,19,E + M,1/11,30,2,1716,AMRE,18.5266928,-68.3811945,F/J,U,11,,F,N,,,,,,,,N,Behind Sewage Ponds,,,,0.5,2,Mature edge,12,,,
11,32,E + M + A + K,1/12,30,1,1720,AMRE,18.5177221,-68.3798937,U,U,9,,,Y,3,H,3,"NOPA, BAWW",T,16,3,Y,Behind Sewage Ponds,,,,0.5,,,,,,
13,34,E + M + A + K,1/12,30,1,1747,AMRE,18.5177221,-68.3798937,F/J,U,2,,H,N,3,H,2,"NOPA, AMRE",T,12,1,Y,Behind Sewage Ponds,,,,0.2,1.5,,,,,
13,34,E + M + A + K,1/12,30,1,1748,AMRE,18.5177221,-68.3798937,F/J,U,6,UL,G,Y,2,H,2,NOPA,T,12,2,Y,Behind Sewage Ponds,,,,0.6,1.5,,,,,
3,62,MG,1/16,0,2,1625,AMRE,18.5205569,-68.3877944,Imm,M,2,OL,H,N,,,,,S,13,1,Y,Man-made Lagoons,,,,,,,,,,
5,64,EH,1/16,0,2,1659,AMRE,18.5261389,-68.3827391,F/J,U,0.8,UL,H,Y,3,H,2,"5 NOPA, 1 AMRE",U,9,1,Y,Man-made Lagoons,,,,,,,,,,
7,66,EH,1/16,0,2,1741,AMRE,18.5282518,-68.3815794,F/J,U,4,F,G,Y,2,H,2,"1 CMWA, 1 AMRE",T,11,2,Y,Man-made Lagoons,,,,,,,,,,
7,66,MG,1/16,0,2,1741,AMRE,18.5282518,-68.3815794,F/J,U,4,UL,G,Y,2,H,2,"2 CMWA, 1 AMRE",T,11,2,Y,Man-made Lagoons,,,,,,,,,,
7,66,MG,1/16,0,2,1741,AMRE,18.5282518,-68.3815794,F/J,U,4,,H,Y,2,H,2,"3 CMWA, 1 AMRE",T,11,2,Y,Man-made Lagoons,,,,,,,,,,
4,75,MG,1/17,0,2,1545,AMRE,18.5158308,-68.379616,U,F,1.5,F,F,Y,,H,4,"YRWA, CMWA, AMRE, BBTO",T,9,1,N,Hacienda,,,,,,,,,,
6,77,AE,1/17,0,2,1547,AMRE,18.5158308,-68.379616,Ad,M,2,OL,G,Y,,H,4,"YRWA, CMWA, AMRE, BBTO",T,9,1,N,Hacienda,,,,,,,,,,
4,75,AE,1/17,0,2,1547,AMRE,18.5158308,-68.379616,U,F,2.5,F,F,Y,,H,4,"YRWA, CMWA, AMRE, BBTO",T,9,1,N,Hacienda,,,,,,,,,,
23,94,MG,1/17,0,2,1745,AMRE,18.5395695,-68.373633,F/J,,2,OF,G,N,,,,,T,10,1,N,Hacienda,,,,,,,,,,
7,103,MG,1/18,60,2,1742,AMRE,18.5102114,-68.3815117,F/J,U,1.5,OS,G,Y,,H,2,"AMRE, OVEN",D,11,1,PISHING,FUNDACION,,,,,,,,,,
7,103,MG,1/18,60,2,1742,AMRE,18.5102114,-68.3815117,F/J,U,1.5,UL,G,Y,,H,2,"AMRE, OVEN",T,11,1,PISHING,FUNDACION,,,,,,,,,,
7,103,MG,1/18,60,2,1742,AMRE,18.5102114,-68.3815117,F/J,U,1,T,G,Y,,H,2,"AMRE, OVEN",T,11,1,PISHING,FUNDACION,,,,,,,,,,
7,103,MG,1/18,60,2,1742,AMRE,18.5102114,-68.3815117,F/J,U,0.5,,H,Y,,H,2,"AMRE, OVEN",B,11,1,PISHING,FUNDACION,,,,,,,,,,
7,134,AE,1/19,0,0,819,AMRE,18.5183572,-68.3810296,AD,M,6,UL,G,N,,,,,T,10,2,N,Hacienda,,,,,,,,,,
7,134,AE,1/19,0,0,819,AMRE,18.5183572,-68.3810296,AD,M,6,OL,G,N,,,,,T,10,2,N,Hacienda,,,,,,,,,,
